,title,rate,description
10,시인 할매,9.7,"글을 몰라 서러웠고, 고단한 시집살이와 오직 가족만이 전부였던 삶. 이름 석자 적는 게 소원이었던 어매들은 모진 세월 견뎌내고 나서야 글을 배웠다. 삶을 노래하고, 세월을 읊는 할매들 마음을 위로하는 인생의 詩 한편을 만나다!"
11,발토,9.7,"알라스카의 허름한 부두가에 부숴진 배 한 척이 있다. 그곳이 발토가 살아가는 안식처이다. 발토는 용맹스럽고 착하지만 단지 늑대개라는 이유로 마을 사람들은 물론 동료 개들로부터 따돌림을 당하면서 살아간다. 그의 유일한 친구들은 러시안 거위 보리스 아저씨와 겁쟁이 북극곰 형제 머크와 루크 그리고 예쁜 여자친구 제나뿐이다. 그러던중 평화로운 마을에 50도가 웃도는 혹한의 겨울이 찾아오고 유행병이 마을 어린이들을 순식간에 전염시킨다. 제니의 주인인 로지도 유행병으로 앓아 눕게 된다. 한편 마을에서는 약품수송을 위해 비행기와 기차, 배 등의 모든 운송 수단을 동원하지만 알라스카의 매서운 눈보라 앞에서는 속수무책이다. 최후의 수단으로 약품수송을 위한 썰매팀을 파견하기로 하고 썰매를 이끌 튼튼한 개를 선발하는 경주대회를 개최한다. 이 경주에서 발토가 1등을 차지하지만 늑대개라는 이유로 그를 제외시키고 발토를 증오하는 스틸을 리더로 썰매팀을 보낸다. 그러나 돌아오던 길에 약품을 싣고 오던 스틸의 썰매팀은 심한 눈보라 속에서 길을 잃어버린다. 약품을 애타게 기다리던 마을 사람들은 깊은 절망에 빠진다. 이때 발토는 그의 유일한 여자친구 제나가 병들어 누워 있는 주인 로지를 몹시 걱정하고 있는 모습을 옆에서 지켜본다. 그리고 약품을 실은 썰매를 찾아올 것을 결심하고 600마일이 넘는 알라스카의 험난한 산기슭을 횡단하는데."
12,오 마이 파파,9.7,"한국 이름 소재건, 소 알로이시오 신부는 1950년대 한국전쟁의 상처로 가난했던 부산에 정착해 가난한 이들을 돌보기 위해 마리아수녀회를 창설했습니다. 그리고 거리의 아이들을 강제 수용하던 영화숙을 인수하여 소년의 집을 연 이후, 아이들은 소 알로이시오 신부를 ‘소 신부님’이라고 부르며 아버지처럼 따랐습니다. “가난하게 살다 보면 가난한 이들과 같은 파장에 머물 수 있습니다.” 소 알로이시오 신부는 기부금이 생길 때마다 소년의 집 운영을 위해 아낌없이 사용했지만 본인 스스로는 가난한 삶을 살기를 자처했습니다. 마리아수녀회 수녀들이 수십 번씩이나 손수 꿰매드린 ‘소 신부님’의 낡고 닳은 의복과 구두는 가난한 이들의 아버지 소 알로이시오 신부의 의지를 비추어줍니다."
13,상은: 너에게 중독되다,9.7,"세상에 재미를 느끼지 못하고 살아가던 부잣집 도련님 구하이, 가난하지만 전교 상위권을 놓치지 않는 모범생 바이루인. 같은 학교, 같은 반에 다니게 된 그들은 기이한 인연으로 서로에게 엮이고, 운명의 시간이 지날수록 서로에게 다른 감정들이 싹트게 되는데…"
14,킬러파티 (양수리 살인사건),9.7,"""킬러파티, 양수리 살인사건에 관한 9개의 에피소드"" 신망 높은 양수리 파출소 국민 경찰 ‘신순경’ 형사는 집안일을 마치고 자신의 회고록을 작성하기 시작한다. 과거의 기억으로 돌아가 양수리의 한 극장 연출가, ‘정관장’의 저택에서부터 시작한다. … '정관장’은 노래를 흥얼거리며 저녁 파티를 준비한다. 그는 자신이 쓴 새로운 작품의 출연 배우들을 집으로 초대했다. 초대된 배우들은 모두 각자의 역할로 차려 입고 ‘정관장’의 저택으로 모인다. ‘정관장’이 새로 쓴 작품은 선상 보트에서 일어나는 살인사건을 다루고 있는데, 그는 인생의 걸작을 썼다고 자부하며 한껏 신이 나있다. 배우들과 각자 한마디씩 이 작품과 역할에 대해 이야기를 하던 중 갑자기 불이 꺼지고 비명소리가 들린다. 60초 후 불이 켜지자 ‘정관장’이 수프 접시에 고개를 떨구며 쓰러진다. 사람들은 그가 자신이 쓴 작품에 맞게 연기를 하는 줄 알지만, 이내 그가 의식이 없다는 것을 발견한다. 과연 살인자는 누구일까."
15,나부야 나부야,9.7,경남 하동군 화개면 단천마을 78년을 함께 한 노부부가 산다. 할아버지는 거동이 불편한 할머니를 위해 음식부터 빨래까지 모든 집안일에 솔선수범하는 애처가다. 한날 한시에 이 세상을 하직하자고 그렇게 약속을 했건만… 얄궂은 이별이 찾아왔다.
16,아이들,9.7,"태준은 실수로 진욱의 연을 밟아서 망가뜨린다. 미안한 마음 때문인지 태준은 진욱에게 관심을 보이고 함께 연을 만들게 되면서 둘은 친해지게 된다. 태준의 친구인 범석은 어떠한 연유에선지 진욱과 사이가 안 좋다. 태준, 진욱, 범석. 이 영화는 세 아이들의 이야기이다. (Tae-jun accidentally brakes Jin-uk's kite. Perhaps because he feels sorry for it, Tae-jun begins to show his interest in Jin-uk and becomes close with him by remaking a kite. Bum-seok, a friend of Tae-jun, has conflicts with Jin-uk, without any clear reason for it. This film is a story of the three boys, Tae-jun, Jin-uk, and Bum-seok.) 연출의도. 문득 나만 무미건조한 학창시절을 보내지는 않았을 것이라는 생각이 계기가 되어 지극히 찬란하지도 암울하지도 않은 젊은 날의 이야기를 구상하게 되었다. ‘관계’속에서 이루어지는 무수한 내면의 변화들을, 이 단조롭고 밋밋한 젊은 날의 이야기를 통해 표현해보려 노력하였다. (One day it occurred to me that I was not the only one who spent his school days monotonously. As I realized this, it entered my mind that I would make a story of adolescence which is neither colorful nor dismal. I tried to represent various subtle changes in thoughts and feelings which we might come to have in our relationships with others.) 영화제 소개글. 십대의 활기찬 에너지가 넘쳐나는 남자 고등학교. 싸움깨나 하는 친구들과 어울리며 쾌활하게 생활하는 태준은 어느 날 연을 밟아 망가뜨리고 만다. 그리고 그것이 친구들로부터 왕따를 당하는 같은 반 학생 진욱의 것임을 알고 그에게 사과를 하지만, 진욱의 반응은 냉담하기만 하다. 그런 진욱에게 오히려 호기심을 느낀 태준은 그에게 접근하며 친해지려는 노력을 한다. 그러자 그동안 태준과 단짝처럼 지냈던 친구, 범석은 태준이 자신을 멀리하고 괴상한 녀석과 어울리는 모습을 참을 수 없어하며, 진욱을 손봐줄 기회만을 노린다. 잘 짜인 드라마와 십대 소년들의 자연스러운 연기가 인상적인 <아이들>은 무엇보다도 캐릭터의 매력과 십대 소년들 사이의 긴장과 유머를 묘사하는 상황연출이 돋보이는 작품이다. 반 아이들에게 괴짜 취급을 당하며 연 만들기에만 몰두하는 진욱의 캐릭터는 끝내 의뭉스러우며, 능청스럽지만 속내 깊은 태준의 캐릭터는 자연스러운 연기와 더불어 이 영화의 가장 매력적인 요소이기도 하다. 흔히 여학교를 배경으로만 묘사되던 친구들 사이의 묘한 질시와 애정의 관계가 서로 다른 개성을 지닌 세 명의 소년을 중심으로 탄탄한 드라마와 더불어 잘 연출되어 있다. 답답한 학교 풍경과 대비되어, 멋진 롱숏으로 잡아낸 학교 밖 로케이션 촬영들이 인상적인 작품이다. (전주국제영화제 - 정지연) 제23회 프리부르국제영화제 경쟁부문 (2009, 스위스), 제4회 대한민국대학영화제 (2008), 제3회 국제대학생평화영화제 금상, 관객상 수상 (2008), 제4회 인디판다국제단편영화제 (2008, 홍콩), 제7회 제주영화제 (2008), 제2회 시네마디지털서울 (2008), 제2회 충무로국제영화제 (2008), 제7회 미장센단편영화제 ‘장르의 상상력전’ 경쟁부문 (2008), 제10회 서울국제청소년영화제 (2008) , 제9회 서울국제영화제 국제경쟁부문 (2008) , 인디포럼 (2008) , 제9회 전주국제영화제 한국단편의 선택:비평가주간 심사위원상 (2008)"
17,저 달이 차기 전에,9.7,"2009년 여름, 쌍용 자동차의 파업 77일 중 후반 15일 동안 사측과 대립하고 있던 노조 측의 긴박했던 당시를 기록한 다큐멘터리. 중국 상하이자동차가 SUV의 대명사로 불리는 쌍용자동차를 인수한 건 2004년 10월. 노조와 시민사회단체의 반대에도 불구하고 쌍용차는 헐값으로 매각됐다. 그러나 상하이차는 우량기업이던 쌍용차를 불과 4년 만에 껍데기만 남겨 놨다. 인수 이후 단 한 푼도 기술개발에 투자하지 않았던 것이다. 엎친데덮친 격으로 글로벌 수요 감소의 직격탄을 맞은 쌍용차는 2008년 12월 자금난이 가시화 되면서 평택 등 전 공장의 생산라인 가동을 중단했다. 2009년 1월 9일 법정관리를 신청한 쌍용차는 2월 6일 법정관리 신청이 받아들여졌고, 법정관리인으로 박영태 쌍용차 기획재무 부본부장, 이유일 전 현대차 사장이 공동 선임됐다. 이때만 해도 노동자들은 조속한 경영정상화가 될 것이라는 기대감을 가지고 있었다. 그러나 법원이 쌍용차에 대한 고강도 구조조정을 요구하면서 사측은 쌍용차 총인원의 36%에 해당하는 2646명 인력감축안을 발표했다. 노조에서 고용유지를 위한 방안으로 근로형태를 주야간 5시간씩, 3조2교대 형태로 운영하고 주간연속 2교대제를 도입하자고 제안했으나 받아들여지지 않았다. 사측은 4월 9일 예정대로 희망퇴직과 정리해고 절차에 돌입했고, 노조는 4월 15일 84%의 찬성으로 쟁의행위를 가결, 총파업을 포함한 모든 방법을 총동원해 구조조정을 저지하겠단 각오를 다졌다. 사측은 5월 8일 경기지방노동청에 정리해고 계획을 신고하고 정리해고를 강행했다. “함께 살자”는 노동자들의 절규가 받아들여지지 않자 노조는 5월 21일 평택공장으로 결집, 정문을 봉쇄했고 사측은 31일 직장폐쇄를 단행했다. 6월 2일 쌍용차는 해고대상자 1056명에게 우편으로 해고를 통보하고, 다음 날 정리해고 법적 효력이 발생하는 8일 이후 공권력을 투입하겠다고 밝혔다. 분노한 노동자들은 공권력 침탈에 대비해 무장하는 한편, 정부에 공적자금을 투입해 사태 해결에 나설 것을 끊임없이 촉구했다. 용역업체를 앞세운 사측은 지속적으로 공장 진입을 시도하고, 관리직과 비해고자들도 동참시켰다. 이들을 막으려는 농성 노동자들과 용역업체 직원 간에 폭력 사태, 대치상황이 연일 이어진다. 경찰은 7월 16일 공장을 완전히 봉쇄하고 외부 출입을 막았다. 음식물 반입차단, 식수 반입차단, 의료진 진입차단이 연이어 이뤄진다. &lt저 달이 차기 전에&gt는 경찰이 공장을 완전히 봉쇄한 이후 최악의 상황에서 매일 전쟁 같은 하루를 보내는 쌍용자동차 노동자들의 치열한 투쟁과 그 속에서의 열상, 그리고 그들이 왜 이렇게 처절한 싸움을 벌일 수밖에 없었는지 ‘공장 잠입’을 통해 직접 촬영한 내용을 기반으로 제작됐다."
18,아빠가 필요해,9.7,"직업이 소설가인 늑대는 위대한 작품을 쓰기 위해 한적한 시골에 내려와서 글을 쓰기 시작한다. 그런데 비가 오는 어느 날 한 여자가 여섯 살 영희를 데리고 늑대를 찾아온다. “영희야. 이 늑대가 네 아빠야.” 늑대는 깜짝 놀라지만 여자는 영희를 놓고는 가버린다. 이렇게 해서 소설가 늑대는 여섯 살 여자아이 영희의 아빠가 된다. 위대한 소설과 영희를 키우는 일 중 어느 것이 더 중요한 것일까? 늑대는 혼란스럽다. (A wolf who is a novelist comes to a serene countryside to write a masterpiece. One rainy day, a lady visits him with six-year-old Young-hee, and says “Young-hee, this wolf is your father.”　 The wolf is shocked and the lady goes away leaving Young-hee behind. This is how the wolf-novelist becomes the father of the six-year-old girl.) 연출의도. 소설 쓰는 늑대와 여섯 살 여자아이와의 따듯한 감정을 표현하고 싶었다. (Id like to show a heartful story between a wolf-novelist and a six-year-old little girl.) 제25회 세인트킬다영화제 특별부문 (2008, 호주), 뉴욕국제아동영화제 관객상 수상 (2008, 미국), 애니메이티드엑서터영화제 해외베스트애니메이션부문 (2008, 영국), 제37회 탐페레국제단편영화제 한국영화특별전 (2008, 핀란드), 프로젝터애니메이션영화제 (2008, 영국), 프레쉬국제비디오아트&단편영화제 (2007, 태국), 제23회 인터필름베를린국제단편영화제 한국포커스부문 (2007, 독일), 제1회 서울국제가족영상축제 초청상영 (2007), 제49회 빌바오국제다큐멘터리단편영화제 히로시마애니메이션영화제 수상작특별전 (2007, 스페인), 프레드릭스타애니메이션영화제 (2007, 노르웨이), 제2회 샌프란시스코국제애니메이션영화제 (2007, 미국), 제1회 빅카툰애니메이션영화제 (2007, 러시아), 제14회 크록국제애니메이션영화제 경쟁부문 (2007, 우크라이나), 제6회 판토체국제애니메이션영화제 월드와이드히츠부문 (2007, 스위스), 제1회 플랫폼국제애니메이션영화제 경쟁부문 (2007, 미국), 제4회 인디리스보아-리스본국제독립영화제 인디주니어부문 (2007, 포르투갈), 제14회 스투트가르트국제애니메이션영화제 최고애니메이션부문 (2007, 독일), 제12회 홍콩독립단편비디어워즈 특별부문 (2007, 홍콩), 제16회 플리커페스트-호주국제단편영화제 비경쟁부문 (2006, 호주), 제11회 홀랜드애니메이션영화제 무비스쿼드상 수상 (2006, 네덜란드), 제49회 라이프찌히국제다큐멘터리애니메이션영화제 국제파노라마부문 (2006, 독일), 제8회 바이즈바덴국제애니메이션주간 (2006, 독일), 제7회 애니마드리드-마드리드국제애니메이션영화제 경쟁부문 (2006, 스페인), 제1회 부산국제어린이영화제 단편부문 (2006), 제21회 오덴스국제영화제 (2006, 덴마크), 동아LG 국제만화공모전 애니메이션부문 장려상 (2006), 제13회 브래드포드애니메이션영화제 특별전 (2006, 영국), 시그라프 특별전 (2006, 미국), 제13회 크록국제애니메이션영화제 특별전 (2006, 우크라이나), 제2회 인디판다국제단편영화제 (2006, 홍콩), 제4회 파리시네마영화제 (2006, 프랑스), 제11회 히로시마국제애니메이션영화제 히로시마상 수상 (2006, 일본), 제7회 서울영화제 초청상영 (2006), 제10회 서울국제만화애니메이션페스티벌 경쟁부문 (2006), 제18회 도가CG애니메이션콘테스트 작품상 (2006, 일본), 제17회 자그레브국제애니메이션영화제 일반경쟁부문 (2006, 크로아티아), 제5회 도쿄아니마페어 우수상 (2006, 일본), 제36회 탐페레국제단편영화제 국제경쟁부문 (2006, 핀란드), 인디애니페스트 관객상 (2005), 제2회 CJ 아시아인디영화제 (2005), 서울독립영화제 경쟁부문 (2005), 대한민국애니메이션대상 특별상 (2005)"
19,극장판 은혼 신역홍앵편,9.7,"인기절정의 '은혼' 시리즈 최초의 극장판! 에도의 밤거리에서 다발적으로 일어나고 있는 연쇄 살인사건에 카츠라가 휘말리게 된다. 엘리자베스는 피로 물든 카츠라의 소지품을 가지고 해결사 사무소를 방문하고, 사연을 알게 된 카구라와 신파치는 카츠라의 행방을 찾아 나선다."
20,할머니의 먼 집,9.6,"아흔 셋, 나의 사랑하는 할머니가 자살을 시도했다. 취업준비를 하며 보내던 어느 날, 나의 가족이자 오랜 친구인 할머니가 먼 곳으로 떠나려 했다는 소식을 듣게 된다. 아직 나는 할머니를 보낼 수 없어 곁에서 지키기로 했다. ""할머니 죽으믄 나도 못 본디 괜찮애?"" 무서우면 할머니를 가장 먼저 찾던 아이, 할머니가 해주는 옛날 이야기를 가장 좋아하던 아이, 이제 훌쩍 자란 나는 어느새 작아진 할머니를 기억하기 위한 준비를 시작한다. “할머니, 내가 영화 열심히 찍을 테니까 다 보고 돌아가셔. 그 전에 돌아가시면 안돼”"
21,디지몬 어드벤처 트라이 제3장: 고백,9.6,"메이쿠몬이 갑자기 변이를 일으켜 레오몬을 소멸시키고 왜곡된 공간으로 자취를 감추는 바람에 크게 동요하는 타이치와 친구들. “메이쿠몬이 감염된 거라면 그 원인을 찾아야 해. 뭔가 징후가 없었을까? 대체 언제 감염된 거지?” 상상을 초월하는 상황과 마주하면서도 무언가 대책을 세우고자 고군분투하는 코시로. 하지만 뾰족한 수도 없고, 어떻게든 정보를 얻기 위해 메이코를 추궁한다. “잘 좀 생각해봐요. 감염 이유를 밝히려면 정보가 필요해요.” 고개를 숙인 채 아무런 대답도 하지 못하는 메이코. 감염을 방지하지 위해 코시로의 사무실에 격리된 짝꿍 디지몬들. 하지만 파타몬에게 감염의 징후가 보이기 시작하고... 같은 시각 짝꿍 디지몬들은 히카리에게 깃든 목소리를 통해 디지털 월드에 관한 중대한 비밀을 듣게 된다. “때가... 오고 있어...” 그리고 다시 모습을 드러낸 메이쿠몬과 싸우는 와중에 그 ‘때’가 다가온다. 밝혀진 비밀에 고뇌하는 타이치와 친구들. 저마다 의견이 엇갈리는 가운데 친구들은 하나의 결의를 다진다... “언제든 기다리다 보면, 눈 깜짝할 새 어른이 돼버리겠지.” 지금, 또다시 모험이 진화한다!"
22,그린 북,9.6,"1962년 미국, 입담과 주먹만 믿고 살아가던 토니 발레롱가(비고 모텐슨)는 교양과 우아함 그 자체인 천재 피아니스트 돈 셜리(마허샬라 알리) 박사의 운전기사 면접을 보게 된다. 백악관에도 초청되는 등 미국 전역에서 콘서트 요청을 받으며 명성을 떨치고 있는 돈 셜리는 위험하기로 소문난 미국 남부 투어 공연을 떠나기로 결심하고, 투어 기간 동안 자신의 보디가드 겸 운전기사로 토니를 고용한다. 거친 인생을 살아온 토니 발레롱가와 교양과 기품을 지키며 살아온 돈 셜리 박사. 생각, 행동, 말투, 취향까지 달라도 너무 다른 두 사람은 그들을 위한 여행안내서 ‘그린북’에 의존해 특별한 남부 투어를 시작하는데…"
23,가버나움,9.6,"나를 세상에 태어나게 한 ""부모님을 고소하고 싶어요..."" -출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터"
24,베어,9.6,"부드러운 봄의 햇살을 받으며 태어난 지 얼마안되는 아기곰 두스는 엄마곰과 함께 나무뿌리에서 꿀둥지를 파내어 먹고 산다. 그러나 엄마곰이 갑자기 굴러떨어진 바위에 깔려 죽자 혼자가 된 두스는 여기 저기 떠돌아 다닌다. 엄마곰의 보호없이 혼자서 직면하는 세계는 보이는 것 전부가 놀라움의 연속이다. 신기한 개구리, 물고기, 냇물, 꽃, 나비 등. 어느날 두스는 두 사냥꾼의 총에 맞아 상처를 입은 큰 숫곰 바트를 만난다. 두스는 귀찮아하는 바트를 쫓아가 상처를 핥아준다. 이내 친구가 된 두스와 바트는 함께 사냥하여 먹이를 먹고 아기곰 두스는 조금씩 바트를 통해 자연의 섭리를 알아가게 된다. 그러나 사냥개를 데리고 다시 나타난 사냥꾼들은 바트를 쫓지만 두스는 생포된다. 두스를 구하기 위해 나타난 큰곰 바트에게 밀려 절벽에 몰린 사냥꾼들은 죽을 위기에 처하지만 바트는 사냥꾼을 해치지않고 살려준다. 우여곡절 끝에 바트의 곁에 돌아온 두스는 흰눈이 내리는 겨울이오자 바트와 함께 겨울잠을 위해 동굴을 찾는다."
25,짱구는 못말려: 어른제국의 역습!!,9.6,"20세기를 그리워하는 사람이 현재의 21세기 일본은 감정도 없고 메마른 곳이라며 현재의 일본을 20세기 되돌려 놓으려한다. 그래서 짱구네 가족이 자신들의 미래를 찾기 위해 이를 막아내고 다시 일본은 원래대로 돌아온다는 이야기. 어느날 일본에 '20세기 박물관' 이라는 곳이 생겨 어른들이 어릴 때 추억을 감상할 수 있게 되어있었다. 그런데, 그곳에서 TV로 어른들을 아이들처럼 만드는 세뇌 광고를 내보내, 어른들은 아이들을 내팽개치고 박물관으로 계속 놀러가서 영영 돌아오지 않았다. 그것은 바로 20세기를 그리워하는 조직인 'yesterday once more' 의 행각. 리더인 켄과 그의 애인 챠코는, 지금 이 세상을 전부 20세기 때 그대로로 만들고자 했다. 기다리다 못한 신 짱, 토루, 마사오, 네네, 보오, 히마와리, 시로는 20세기 박물관으로 쳐들어가 어른들을 구출해내고, 사랑하는 가족들과 함께 하기 위해 미래를 손에 넣는 도전을 한다. 그러나, 지금은 신 짱의 부모님과 어른들은 신 짱을 공격하는 적이 되어 있었다."
26,밥정,9.6,"잔디, 잡초, 이끼, 나뭇가지.. 자연을 재료 삼아 요리를 만드는 방랑식객 임지호 셰프. 친어머니와 양어머니에 대한 아픈 사연을 간직한 그는 길에서 인연을 맺은 사람들에게 기꺼이 음식을 대접한다. 지리산에서 만난 김순규 할머니를 길 위의 어머니로 10년간 모시지만, 끝끝내 찾아온 3번째 이별. 임지호 셰프는 낳아주신, 길러주신, 그리고 마음을 나눠주신 3명의 어머니를 위해 3일 동안 108접시의 음식을 장만한다. ‘밥’으로 ‘정’을 나누는 인생의 참맛, 더 늦기 전에 당신과 나누고 싶습니다…"
27,학교 가는 길,9.6,"전국 특수학교 재학생의 절반은 매일 왕복 1~4시간 거리를 통학하며 전쟁 같은 아침을 맞이한다 장애 학생 수에 비해 턱없이 부족한 특수학교 아이를 위해 거리로 나선 엄마들은 무릎까지 꿇는 강단으로 맞서는데… 세상을 바꾼 사진 한 장, 엄마들의 용기 있는 외침이 시작된다!"
28,학교 가는 길(가치봄영화:시청각장애인용),9.6,"전국 특수학교 재학생의 절반은 매일 왕복 1~4시간 거리를 통학하며 전쟁 같은 아침을 맞이한다 장애 학생 수에 비해 턱없이 부족한 특수학교 아이를 위해 거리로 나선 엄마들은 무릎까지 꿇는 강단으로 맞서는데… 세상을 바꾼 사진 한 장, 엄마들의 용기 있는 외침이 시작된다!"
